channel,videos_found,total_views_in_sample,best_video_views,primary_niche,examples
Manual do Mundo,5,32082712,26946995,"Logística, portos e aeroportos","[{""title"": ""How does an AIRPORT work? #Let'sSee"", ""views"": 851682, ""url"": ""https://www.youtube.com/watch?v=Awn19pbBonY""}, {""title"": ""HOW a SOLAR POWER PLANT WORKS #Let'sSee"", ""views"": 1407458, ""url"": ""https://www.youtube.com/watch?v=_W1nQT7az8c""}, {""title"": ""How is SEWAGE TREATMENT done #Boravê"", ""views"": 1689630, ""url"": ""https://www.youtube.com/watch?v=IAyu0JMb_1U""}]"
Discovery Brasil,4,15854821,4987544,"Logística, portos e aeroportos","[{""title"": ""Passenger searched on suspicion of smuggling | Airport: Restricted Area | Discovery Brazil"", ""views"": 4987544, ""url"": ""https://www.youtube.com/watch?v=hmFUvNk1Jdg""}, {""title"": ""Fiscalização de passageiros mais \""nervosos\"" e tensos | Aeroporto - Área Restrita | Discovery Brasil"", ""views"": 4169229, ""url"": ""https://www.youtube.com/watch?v=aMPu845fYUA""}, {""title"": ""Passengers lose control after inspections | Airport - Restricted Area | Discovery Brazil"", ""views"": 2115844, ""url"": ""https://www.youtube.com/watch?v=QXDjw3Ezc20""}]"
Processo em Foco,1,3070345,3070345,"Finanças, dinheiro e impostos","[{""title"": ""Por Dentro da Fábrica de Dinheiro: Do Papel aos 100 Milhões de Reais (Processo Completo)"", ""views"": 3070345, ""url"": ""https://www.youtube.com/watch?v=co0xkge5fnw""}]"
g1,2,3959752,2705369,"IA, tecnologia e software","[{""title"": ""Computador quântico: como funciona a tecnologia que promete revolucionar a vida na Terra"", ""views"": 2705369, ""url"": ""https://www.youtube.com/watch?v=9HXxn66WpN8""}, {""title"": ""Fantástico: Futuro das inteligências artificiais e os perigos para a humanidade"", ""views"": 1254383, ""url"": ""https://www.youtube.com/watch?v=D2KIu_yDeJk""}]"
O2 Play Filmes,1,2673495,2673495,"Água, saneamento e clima","[{""title"": ""The Law of Water - Full Movie"", ""views"": 2673495, ""url"": ""https://www.youtube.com/watch?v=jgq_SXU1qzc""}]"
BBC News Brasil,8,6622080,2329918,"IA, tecnologia e software","[{""title"": ""A rede global (e invisível) de cabos que mantém a internet funcionando"", ""views"": 682463, ""url"": ""https://www.youtube.com/watch?v=DRaTbGYdkvQ""}, {""title"": ""Como Porto Rico virou território dos EUA"", ""views"": 831966, ""url"": ""https://www.youtube.com/watch?v=d-1Nyy4EBxA""}, {""title"": ""Por que quase metade dos brasileiros não tem rede de esgoto?"", ""views"": 249018, ""url"": ""https://www.youtube.com/watch?v=qoPNtMObQsY""}]"
Construction Time,1,1739749,1739749,"Logística, portos e aeroportos","[{""title"": ""Why Is This Port Keeping the World Watching Brazil?"", ""views"": 1739749, ""url"": ""https://www.youtube.com/watch?v=n5WgUBLUNJw""}]"
Tinocando TV,1,1734471,1734471,"Finanças, dinheiro e impostos","[{""title"": ""COMO FOI o ASSALTO ao BANCO CENTRAL do BRASIL"", ""views"": 1734471, ""url"": ""https://www.youtube.com/watch?v=pmV1L3r5vT4""}]"
Canal History Brasil,3,1934422,1548876,"IA, tecnologia e software","[{""title"": ""💰A maior rota de contrabando e tráfico do BRASIL! 🚨🛑| O MELHOR DE PARADOS NA FRONTEIRA"", ""views"": 1548876, ""url"": ""https://www.youtube.com/watch?v=VTqXGusviPY""}, {""title"": ""Gigantes que transformaram a tecnologia do mundo | MARATONA GIGANTES | 2 HORAS DE PROGRAMA"", ""views"": 235073, ""url"": ""https://www.youtube.com/watch?v=ZQNYe-K2M6g""}, {""title"": ""Os avanços da inteligência artificial precisam ser controlados? | ALIENÍGENAS DO PASSADO | HISTORY"", ""views"": 150473, ""url"": ""https://www.youtube.com/watch?v=D1tQL3RleDs""}]"
Elementar,5,4138958,1266821,"Finanças, dinheiro e impostos","[{""title"": ""O Maior Esquema de PIRÂMIDE da História!"", ""views"": 894202, ""url"": ""https://www.youtube.com/watch?v=N67AybEN0XU""}, {""title"": ""A Grande CRISE de 2008"", ""views"": 1266821, ""url"": ""https://www.youtube.com/watch?v=pVPR4L3i-Tk""}, {""title"": ""Has Solar Energy FAILED in Brazil?"", ""views"": 757871, ""url"": ""https://www.youtube.com/watch?v=iflfL3C-H5I""}]"
