periodo,fase,entrega_principal,publicacoes_longas,shorts,decisao
Pré-lançamento -21 a -15,Identidade,"Promessa, público, paleta, tipografia, som e regras de IA",0,0,Aprovar categoria e linguagem própria
Pré-lançamento -14 a -8,Sistema,"15 componentes Remotion, biblioteca visual e protocolo de fontes",0,0,Validar reutilização sem aparência massificada
Pré-lançamento -7 a 0,Estoque,"3 episódios finalizados e 9 pacotes de título/thumbnail",0,0,Só lançar com três vídeos prontos
Dias 1-7,Lançamento,"Celular roubado e falsa central",2,4,Comparar ameaça física versus bancária
Dias 8-15,Busca,"Pix errado",1,2,Medir Search versus Home
Dias 16-23,Evergreen,"WhatsApp clonado",1,2,Medir intenção prática e novos espectadores
Dias 24-30,Tendência,"Voz clonada por IA",1,2,Escolher primeira série vencedora
Dias 31-38,Execução,"Golpe de acesso remoto",1,2,Testar montagem mais cinematográfica
Dias 39-46,Autoridade,"Por que o golpista sabe seus dados",1,2,Medir retorno e tempo médio
Dias 47-54,Sistema,"Contas laranja e rota do dinheiro",1,2,Criar sequência temática
Dias 55-60,Otimização,"QR Code e boleto falso + repackaging e playlists",1,2,Testar negócios e alterar somente pacote com retenção forte
Dias 61-70,Marketplace,"Falso intermediário",1,2,Expandir sem sair da categoria
Dias 71-80,Serviço,"Primeiros passos após Pix fraudulento",1,2,Acumular busca urgente e horas qualificadas
Dias 81-90,Evento,"Identidade sintética e abertura de contas",1,2,Consolidar biblioteca e meta de monetização
