video_id,url,title,channel,channel_url,uploader_id,duration_seconds,view_count,verified,search_query,niche
EbLcY06QwY4,https://www.youtube.com/watch?v=EbLcY06QwY4,ALL about the VOYAGER PROGRAM | Astrum Brasil,Astrum Brasil,https://www.youtube.com/channel/UChn_-OwvV63mr1yeUGvH-BQ,@AstrumBrasil,3230,664378,True,documentário brasil tecnologia como funciona,"IA, tecnologia e software"
DRaTbGYdkvQ,https://www.youtube.com/watch?v=DRaTbGYdkvQ,A rede global (e invisível) de cabos que mantém a internet funcionando,BBC News Brasil,https://www.youtube.com/channel/UCthbIFAxbXTTQEC7EcQvP1Q,@BBCNewsBrasil,406,682463,True,documentário brasil tecnologia como funciona,"IA, tecnologia e software"
AMYdcqAP1bs,https://www.youtube.com/watch?v=AMYdcqAP1bs,Why is electrical wiring in Brazil a mess? Full Documentary,Conhecimento Global,https://www.youtube.com/channel/UCni-Zf3MQMeqBorN50lkuKg,@ConhecimentoGlobalBr,1043,844412,True,documentário brasil tecnologia como funciona,"IA, tecnologia e software"
HCb-PDTjf1Q,https://www.youtube.com/watch?v=HCb-PDTjf1Q,Como Funciona o Cérebro? Documentário History Channel Brasil,fizz lack,https://www.youtube.com/channel/UCbNxFN4x6U36fWYNKAmpYng,@fizzlack7965,6048,173,False,documentário brasil tecnologia como funciona,"IA, tecnologia e software"
9HXxn66WpN8,https://www.youtube.com/watch?v=9HXxn66WpN8,Computador quântico: como funciona a tecnologia que promete revolucionar a vida na Terra,g1,https://www.youtube.com/channel/UCaGmdJSSiR7fkh2A-c6emsA,@g1globo,900,2705369,True,documentário brasil tecnologia como funciona,"IA, tecnologia e software"
NBPOCB05o9E,https://www.youtube.com/watch?v=NBPOCB05o9E,CONHEÇA A PROFISSÃO CIBERSEGURANÇA | DOCUMENTÁRIO,Hackone | CCIE Lucas Palma,https://www.youtube.com/channel/UCU2XT3jvDTpWKyf418nhZjw,@Hackone,927,147688,False,documentário brasil tecnologia como funciona,"IA, tecnologia e software"
Ua60rGoFIk0,https://www.youtube.com/watch?v=Ua60rGoFIk0,How a Single $400 Million Machine Is Taking Over the Chip World,Visão em 360,https://www.youtube.com/channel/UCsAalix8fSHaSmaVXurKbIQ,@Visao-em-360,811,986024,False,documentário brasil tecnologia como funciona,"IA, tecnologia e software"
peZX-aFonKY,https://www.youtube.com/watch?v=peZX-aFonKY,Desafios da Engenharia: A Fábrica do Futuro | Documentário Completo,Bracell,https://www.youtube.com/channel/UCNWL4AL-JDYiLF5IHhCZbjA,@bracell,2604,45837,False,documentário brasil tecnologia como funciona,"IA, tecnologia e software"
S7d371WsIt0,https://www.youtube.com/watch?v=S7d371WsIt0,How did the INTERNET come about? One of the technologies we use most in our daily lives! | Scient...,Fala Cientista,https://www.youtube.com/channel/UCq03g8VzxEovy6j93pDaYNQ,@FalaCientista,806,296550,False,documentário brasil tecnologia como funciona,"IA, tecnologia e software"
md75xDy4ikk,https://www.youtube.com/watch?v=md75xDy4ikk,Documentary The True Story of the Internet 01 The Browser Wars Discovery Channel,Farnel “Rendaextra50altcoins” magalhães,https://www.youtube.com/channel/UCbndIc14PmG7WsVdYJ58AzQ,@farnelmagalhaes9544,2566,22286,False,documentário brasil tecnologia como funciona,"IA, tecnologia e software"
